Day,Date,Exercise,Weight,Cat
Thursday,3/2/23,Squat,309.83,Max
Friday,3/3/23,Squat,311.44,Max
Saturday,3/4/23,Squat,313.05,Max
Sunday,3/5/23,Squat,314.66,Max
Monday,3/6/23,Squat,316.27,Max
Tuesday,3/7/23,Squat,317.88,Max
Wednesday,3/8/23,Squat,319.49,Max
Thursday,3/9/23,Squat,321.1,Max
Friday,3/10/23,Squat,322.71,Max
Saturday,3/11/23,Squat,324.32,Max
Sunday,3/12/23,Squat,325.93,Max
Monday,3/13/23,Squat,327.54,Max
Tuesday,3/14/23,Squat,329.15,Max
Wednesday,3/15/23,Squat,330.76,Max
Thursday,3/16/23,Squat,332.37,Max
Friday,3/17/23,Squat,333.98,Max
Saturday,3/18/23,Squat,335.59,Max
Sunday,3/19/23,Squat,337.2,Max
Monday,3/20/23,Squat,338.81,Max
Tuesday,3/21/23,Squat,340.42,Max
Wednesday,3/22/23,Squat,342.03,Max
Thursday,3/23/23,Squat,343.64,Max
Friday,3/24/23,Squat,345.25,Max
Saturday,3/25/23,Squat,346.86,Max
Sunday,3/26/23,Squat,348.47,Max
Monday,3/27/23,Squat,350.08,Max
Tuesday,3/28/23,Squat,351.69,Max
Wednesday,3/29/23,Squat,353.3,Max
Thursday,3/30/23,Squat,354.91,Max
Friday,3/31/23,Squat,356.52,Max
Saturday,4/1/23,Squat,358.13,Max
Sunday,4/2/23,Squat,359.74,Max
Monday,4/3/23,Squat,361.35,Max
Tuesday,4/4/23,Squat,362.96,Max
Wednesday,4/5/23,Squat,364.57,Max
Thursday,4/6/23,Squat,365,Max
Friday,4/7/23,Squat,366,Max
Monday,2/27/23,Bench,230,Max
Tuesday,2/28/23,Bench,231.18,Max
Wednesday,3/1/23,Bench,232.36,Max
Thursday,3/2/23,Bench,233.54,Max
Friday,3/3/23,Bench,234.72,Max
Saturday,3/4/23,Bench,235.9,Max
Sunday,3/5/23,Bench,237.08,Max
Monday,3/6/23,Bench,238.26,Max
Tuesday,3/7/23,Bench,239.44,Max
Wednesday,3/8/23,Bench,240.62,Max
Thursday,3/9/23,Bench,241.8,Max
Friday,3/10/23,Bench,242.98,Max
Saturday,3/11/23,Bench,244.16,Max
Sunday,3/12/23,Bench,245.34,Max
Monday,3/13/23,Bench,246.52,Max
Tuesday,3/14/23,Bench,247.7,Max
Wednesday,3/15/23,Bench,248.88,Max
Thursday,3/16/23,Bench,250.06,Max
Friday,3/17/23,Bench,251.24,Max
Saturday,3/18/23,Bench,252.42,Max
Sunday,3/19/23,Bench,253.6,Max
Monday,3/20/23,Bench,254.78,Max
Tuesday,3/21/23,Bench,255.96,Max
Wednesday,3/22/23,Bench,257.14,Max
Thursday,3/23/23,Bench,258.32,Max
Friday,3/24/23,Bench,259.5,Max
Saturday,3/25/23,Bench,260.68,Max
Sunday,3/26/23,Bench,261.86,Max
Monday,3/27/23,Bench,263.04,Max
Tuesday,3/28/23,Bench,264.22,Max
Wednesday,3/29/23,Bench,265.4,Max
Thursday,3/30/23,Bench,266.58,Max
Friday,3/31/23,Bench,267.76,Max
Saturday,4/1/23,Bench,268.94,Max
Sunday,4/2/23,Bench,270.12,Max
Monday,4/3/23,Bench,271.3,Max
Tuesday,4/4/23,Bench,272.48,Max
Wednesday,4/5/23,Bench,273.66,Max
Thursday,4/6/23,Bench,274.84,Max
Friday,4/7/23,Bench,276,Max
Monday,2/27/23,Deadlift,350,Max
Tuesday,2/28/23,Deadlift,351.84,Max
Wednesday,3/1/23,Deadlift,353.68,Max
Thursday,3/2/23,Deadlift,355.52,Max
Friday,3/3/23,Deadlift,357.36,Max
Saturday,3/4/23,Deadlift,359.2,Max
Sunday,3/5/23,Deadlift,361.04,Max
Monday,3/6/23,Deadlift,362.88,Max
Tuesday,3/7/23,Deadlift,364.72,Max
Wednesday,3/8/23,Deadlift,366.56,Max
Thursday,3/9/23,Deadlift,368.4,Max
Friday,3/10/23,Deadlift,370.24,Max
Saturday,3/11/23,Deadlift,372.08,Max
Sunday,3/12/23,Deadlift,373.92,Max
Monday,3/13/23,Deadlift,375.76,Max
Tuesday,3/14/23,Deadlift,377.6,Max
Wednesday,3/15/23,Deadlift,379.44,Max
Thursday,3/16/23,Deadlift,381.28,Max
Friday,3/17/23,Deadlift,383.12,Max
Saturday,3/18/23,Deadlift,384.96,Max
Sunday,3/19/23,Deadlift,386.8,Max
Monday,3/20/23,Deadlift,388.64,Max
Tuesday,3/21/23,Deadlift,390.48,Max
Wednesday,3/22/23,Deadlift,392.32,Max
Thursday,3/23/23,Deadlift,394.16,Max
Friday,3/24/23,Deadlift,396,Max
Saturday,3/25/23,Deadlift,397.84,Max
Sunday,3/26/23,Deadlift,399.68,Max
Monday,3/27/23,Deadlift,401.52,Max
Tuesday,3/28/23,Deadlift,403.36,Max
Wednesday,3/29/23,Deadlift,405.2,Max
Thursday,3/30/23,Deadlift,407.04,Max
Friday,3/31/23,Deadlift,408.88,Max
Saturday,4/1/23,Deadlift,410.72,Max
Sunday,4/2/23,Deadlift,412.56,Max
Monday,4/3/23,Deadlift,414.4,Max
Tuesday,4/4/23,Deadlift,416.24,Max
Wednesday,4/5/23,Deadlift,418.08,Max
Thursday,4/6/23,Deadlift,419.92,Max
Friday,4/7/23,Deadlift,420,Max
